sample_id,true_type,pred_type,prompt_strategy,text_length
150,INTP,INTJ,zero_shot,1482.0
151,INFJ,INFJ,zero_shot,1699.0
152,ENFP,INFJ,zero_shot,1385.0
153,ENFP,ENTP,zero_shot,1312.0
154,INTP,INTP,zero_shot,1053.0
155,ENTP,INFJ,zero_shot,389.0
156,INTJ,INTJ,zero_shot,1492.0
157,INTP,INFP,zero_shot,758.0
158,ENTP,ENTP,zero_shot,755.0
159,ENFP,ENTP,zero_shot,731.0
160,ESTP,ESTP,zero_shot,1518.0
161,INTJ,INTP,zero_shot,1208.0
162,INTP,INTJ,zero_shot,1059.0
163,ENTP,INTJ,zero_shot,1354.0
164,INFP,INFP,zero_shot,1479.0
165,INFJ,INFP,zero_shot,1251.0
166,INFJ,INTJ,zero_shot,1520.0
167,INTJ,INFJ,zero_shot,1070.0
168,ENFP,INFP,zero_shot,1340.0
169,INTJ,INFJ,zero_shot,1640.0
170,INTJ,INTP,zero_shot,506.0
171,INTP,INTP,zero_shot,1134.0
172,ISFJ,INFJ,zero_shot,590.0
173,INTP,INTP,zero_shot,1520.0
174,ISTP,INFJ,zero_shot,1293.0
175,INTP,INTP,zero_shot,881.0
176,INTP,INTP,zero_shot,1285.0
177,INTP,INTP,zero_shot,1282.0
178,INTP,ENFP,zero_shot,1196.0
179,INFP,INFP,zero_shot,1335.0
180,ENTP,INFP,zero_shot,1521.0
181,INFP,INFP,zero_shot,975.0
182,INTP,INTJ,zero_shot,1774.0
183,INTJ,INFP,zero_shot,1225.0
184,ENTP,INTJ,zero_shot,1619.0
185,INFJ,INFJ,zero_shot,1519.0
186,INTJ,INFJ,zero_shot,412.0
187,INTP,INTJ,zero_shot,1302.0
188,ISTP,INTP,zero_shot,1317.0
189,ISTJ,INFJ,zero_shot,1576.0
190,INFP,INFP,zero_shot,1361.0
191,INTJ,INTJ,zero_shot,1302.0
192,ENFP,INTJ,zero_shot,1061.0
193,INFP,INFP,zero_shot,851.0
194,INTP,INTP,zero_shot,1661.0
195,INTJ,INTP,zero_shot,1252.0
196,INTJ,INTP,zero_shot,790.0
197,INFP,INFP,zero_shot,1393.0
198,INTP,INTJ,zero_shot,1705.0
199,INTP,INTP,zero_shot,1317.0
200,ESFP,ENTP,zero_shot,909.0
201,INTJ,INTP,zero_shot,909.0
202,ISFP,INFP,zero_shot,1440.0
203,INFJ,INFJ,zero_shot,1098.0
204,INTJ,INTJ,zero_shot,514.0
205,INTJ,INFP,zero_shot,1078.0
206,INTP,INTP,zero_shot,1523.0
207,INTP,INTP,zero_shot,1067.0
208,INFP,INFP,zero_shot,1180.0
209,ENFP,ENFP,zero_shot,969.0
210,INFP,INFJ,zero_shot,1468.0
211,INFP,INFP,zero_shot,1170.0
212,INFP,INTP,zero_shot,1336.0
213,INFP,INTP,zero_shot,576.0
214,INTP,ENFP,zero_shot,620.0
215,INTP,INTJ,zero_shot,1453.0
216,INFP,INFJ,zero_shot,1285.0
217,INFP,INTP,zero_shot,1380.0
218,INFP,INFP,zero_shot,872.0
219,INFJ,INFJ,zero_shot,1153.0
220,ENFP,INTP,zero_shot,1222.0
221,INTJ,INTP,zero_shot,1092.0
222,INFJ,INFJ,zero_shot,1448.0
223,INFJ,INFJ,zero_shot,1076.0
224,ENTP,ENFP,zero_shot,688.0
225,INTP,INTP,zero_shot,1003.0
226,INTP,INTP,zero_shot,1593.0
227,INFP,INFP,zero_shot,932.0
228,INFP,INTP,zero_shot,1285.0
229,INFJ,INFJ,zero_shot,1332.0
230,INTP,INFP,zero_shot,1397.0
231,INFP,INFJ,zero_shot,1650.0
232,INTP,INTP,zero_shot,954.0
233,INFP,INFP,zero_shot,1691.0
234,INFJ,INFJ,zero_shot,878.0
235,ENFJ,INTP,zero_shot,1556.0
236,ISTP,INTP,zero_shot,582.0
237,INTJ,INTP,zero_shot,1505.0
238,INFP,INFP,zero_shot,1584.0
239,ISFP,INFJ,zero_shot,1532.0
240,ENTJ,ENTJ,zero_shot,1389.0
241,ENTP,ENTP,zero_shot,1230.0
242,ISFP,INTP,zero_shot,1702.0
243,ENFP,INFJ,zero_shot,1392.0
244,INFP,INTJ,zero_shot,1530.0
245,ENFP,INFP,zero_shot,1354.0
246,ENTP,INTJ,zero_shot,1277.0
247,INFP,INFJ,zero_shot,1551.0
248,INFP,INFP,zero_shot,1398.0
249,ISFP,INFP,zero_shot,1806.0
250,INFP,INFJ,zero_shot,1851.0
251,INFJ,INFJ,zero_shot,1278.0
252,ENTP,INTP,zero_shot,1524.0
253,INFP,INTP,zero_shot,1538.0
254,ISTP,INFP,zero_shot,1178.0
255,INTJ,INTJ,zero_shot,1349.0
256,INTP,INFJ,zero_shot,1715.0
257,INFJ,INFJ,zero_shot,1252.0
258,ISTJ,ISTP,zero_shot,1425.0
259,INTJ,INTJ,zero_shot,712.0
260,INFP,INTP,zero_shot,1389.0
261,INFJ,INTP,zero_shot,599.0
262,INTJ,INFJ,zero_shot,1360.0
263,ENFJ,INFP,zero_shot,1664.0
264,INFP,INFJ,zero_shot,1528.0
265,INFP,INTP,zero_shot,1343.0
266,ISTJ,INTJ,zero_shot,1523.0
267,ISTJ,INTP,zero_shot,1722.0
268,ISFP,INFJ,zero_shot,654.0
269,INFP,INFJ,zero_shot,1589.0
270,INFJ,INFJ,zero_shot,1601.0
271,INFP,INTJ,zero_shot,1466.0
272,INTP,INTP,zero_shot,883.0
273,INFP,INFJ,zero_shot,1390.0
274,INTP,INTP,zero_shot,1370.0
275,INTJ,INTJ,zero_shot,390.0
276,INTJ,INTP,zero_shot,1485.0
277,INFJ,INFJ,zero_shot,1635.0
278,INFP,INTJ,zero_shot,1678.0
279,INTP,INTJ,zero_shot,1513.0
280,INTJ,INTJ,zero_shot,1208.0
281,ENFP,ENFP,zero_shot,1651.0
282,INFP,INFP,zero_shot,1026.0
283,INTP,INTP,zero_shot,1470.0
284,ENTJ,ENTJ,zero_shot,1747.0
285,INTJ,INTJ,zero_shot,985.0
286,INFJ,INTJ,zero_shot,1237.0
287,INFP,INFJ,zero_shot,1324.0
288,ENTJ,INTJ,zero_shot,1597.0
289,INTP,INFP,zero_shot,1421.0
290,INTP,INTJ,zero_shot,1453.0
291,INFP,INFP,zero_shot,1546.0
292,INTP,INTP,zero_shot,1392.0
293,ENTP,INTJ,zero_shot,1153.0
294,INTJ,INTP,zero_shot,1504.0
295,INTP,INTP,zero_shot,1698.0
296,INTJ,INTP,zero_shot,1290.0
297,INFP,INFP,zero_shot,652.0
298,INFJ,INFJ,zero_shot,895.0
299,INFJ,INTJ,zero_shot,1535.0
300,INFP,INFP,zero_shot,1760.0
301,ENFP,INFJ,zero_shot,1563.0
302,INTP,INTP,zero_shot,1544.0
303,ISTP,ISTP,zero_shot,1511.0
304,INTJ,INFJ,zero_shot,1403.0
305,ENFP,ENTP,zero_shot,872.0
306,ENFP,INFJ,zero_shot,1324.0
307,ENTP,ENTP,zero_shot,1355.0
308,INTP,INTP,zero_shot,1169.0
309,INFJ,INFJ,zero_shot,1535.0
310,INTJ,INTJ,zero_shot,1514.0
311,INFP,INFJ,zero_shot,1753.0
312,ENFP,INFJ,zero_shot,1751.0
313,ENFJ,INFJ,zero_shot,1198.0
314,ENTP,ENTP,zero_shot,1502.0
315,ISFP,INTP,zero_shot,1486.0
316,INFP,INFP,zero_shot,1756.0
317,INFP,INFP,zero_shot,1269.0
318,INFP,INFP,zero_shot,1333.0
319,INTJ,INTJ,zero_shot,1816.0
320,ENTP,ENTP,zero_shot,1545.0
321,ENTP,ENFP,zero_shot,1271.0
322,INTP,INTJ,zero_shot,1159.0
323,INTP,INTP,zero_shot,1587.0
324,INFJ,INFJ,zero_shot,1471.0
325,INFJ,INFP,zero_shot,981.0
326,INTP,INFP,zero_shot,1491.0
327,ENFP,ENTP,zero_shot,642.0
328,INFP,INFP,zero_shot,1892.0
329,INTJ,INTJ,zero_shot,1654.0
330,INTJ,INTJ,zero_shot,1467.0
331,INFP,INFJ,zero_shot,1455.0
332,INFP,INFJ,zero_shot,1371.0
333,INFP,INFP,zero_shot,1496.0
334,ISFP,INFP,zero_shot,1436.0
335,ISFJ,INTJ,zero_shot,1665.0
336,INFP,INFJ,zero_shot,1251.0
337,INTP,INFP,zero_shot,1644.0
338,INFP,INFJ,zero_shot,1318.0
339,INTJ,INTJ,zero_shot,1313.0
340,INTJ,INTJ,zero_shot,1208.0
341,ENTP,ENTP,zero_shot,1493.0
342,ENFJ,ENFJ,zero_shot,1603.0
343,ISFJ,INFJ,zero_shot,1171.0
344,INTP,INTP,zero_shot,1638.0
345,ISFP,INFJ,zero_shot,1697.0
346,ESTP,ESTP,zero_shot,1067.0
347,INFP,INFP,zero_shot,847.0
348,INTP,INFP,zero_shot,1228.0
349,INTJ,INTJ,zero_shot,1338.0
350,INFP,INFJ,zero_shot,1684.0
351,INTJ,INTJ,zero_shot,1110.0
352,INFP,INFP,zero_shot,1466.0
353,INFP,INFP,zero_shot,1483.0
354,INFJ,INTP,zero_shot,1286.0
355,INFP,INFJ,zero_shot,744.0
356,ENTP,INTP,zero_shot,849.0
357,INTP,INTP,zero_shot,1430.0
358,INTP,INTJ,zero_shot,1231.0
359,INFJ,INTJ,zero_shot,1404.0
360,ENFP,INFP,zero_shot,1510.0
361,INTJ,INFJ,zero_shot,1520.0
362,ENTP,INTP,zero_shot,1026.0
363,ENFP,INTJ,zero_shot,1561.0
364,INFJ,INFJ,zero_shot,1817.0
365,ISTJ,INFJ,zero_shot,1838.0
366,INFP,INFJ,zero_shot,1425.0
367,INFP,INTJ,zero_shot,1538.0
368,INFP,INFJ,zero_shot,1528.0
369,INTJ,INTJ,zero_shot,1509.0
370,INTJ,INTJ,zero_shot,1563.0
371,INFP,INFP,zero_shot,1592.0
372,INFJ,INFJ,zero_shot,1647.0
373,INFP,INFP,zero_shot,1697.0
374,INFP,INFP,zero_shot,802.0
375,ENTP,INTP,zero_shot,828.0
376,INTJ,INTP,zero_shot,1488.0
377,INFP,INFJ,zero_shot,1551.0
378,INTJ,INTJ,zero_shot,1351.0
379,INTJ,INTP,zero_shot,289.0
380,INFP,INFP,zero_shot,1619.0
381,ENFP,INFP,zero_shot,1917.0
382,INFP,INFJ,zero_shot,1630.0
383,ISFP,INFJ,zero_shot,211.0
384,INFP,INFP,zero_shot,1565.0
385,ENFP,INFP,zero_shot,1174.0
386,ENTJ,ENTP,zero_shot,1525.0
387,ENFP,INFJ,zero_shot,1715.0
388,INFJ,INFP,zero_shot,1173.0
389,INFJ,INFJ,zero_shot,1293.0
390,ISFP,INTP,zero_shot,903.0
391,INFP,INFJ,zero_shot,1176.0
392,INTP,INFP,zero_shot,1137.0
393,ESTP,INFP,zero_shot,1162.0
394,ENTP,ENFP,zero_shot,1266.0
395,ENFP,ENFP,zero_shot,1517.0
396,INFP,INTP,zero_shot,993.0
397,INFP,INFP,zero_shot,1651.0
398,INFJ,INFJ,zero_shot,1398.0
399,INTJ,INTJ,zero_shot,1691.0
400,INTJ,INTJ,zero_shot,1341.0
401,INFJ,INFJ,zero_shot,1283.0
402,ISTJ,INFP,zero_shot,423.0
403,INTP,INTP,zero_shot,852.0
404,ENTP,INTP,zero_shot,804.0
405,INFP,INFJ,zero_shot,1817.0
406,INFJ,INTP,zero_shot,1273.0
407,INFJ,INFP,zero_shot,1405.0
408,ENFP,INFJ,zero_shot,1410.0
409,ISFJ,INFJ,zero_shot,873.0
410,INTP,ENTP,zero_shot,1541.0
411,ESFJ,INFJ,zero_shot,1746.0
412,INTJ,INFP,zero_shot,1394.0
413,ENFP,INFP,zero_shot,1541.0
414,INFP,INFJ,zero_shot,1669.0
415,INFP,INFJ,zero_shot,1461.0
416,ENFP,INFJ,zero_shot,1801.0
417,INTP,INTP,zero_shot,1280.0
418,INFP,INFP,zero_shot,1478.0
419,ISFP,INTP,zero_shot,1374.0
420,ENTP,ENTP,zero_shot,1563.0
421,INFP,INFP,zero_shot,1402.0
422,ENTP,ENFP,zero_shot,1319.0
423,INFJ,INFJ,zero_shot,1863.0
424,INTJ,INTP,zero_shot,1221.0
425,INTJ,INFP,zero_shot,659.0
426,INTJ,INTJ,zero_shot,1626.0
427,INFJ,INFJ,zero_shot,1175.0
428,ENTP,INFP,zero_shot,833.0
429,ISTJ,INFP,zero_shot,1565.0
430,INFP,INFJ,zero_shot,1405.0
431,ENFP,INTP,zero_shot,1296.0
432,ESTJ,INFP,zero_shot,988.0
433,ENTP,INTP,zero_shot,993.0
434,INFJ,INFP,zero_shot,1816.0
435,INFP,INFP,zero_shot,620.0
436,INFP,ISFJ,zero_shot,1791.0
437,INFJ,INTJ,zero_shot,1535.0
438,ENTJ,ENTJ,zero_shot,1424.0
439,INTJ,INTJ,zero_shot,1520.0
440,INTP,INTJ,zero_shot,1423.0
441,INFP,INFP,zero_shot,1255.0
442,ENTP,ENTJ,zero_shot,1464.0
443,ISFP,INTP,zero_shot,988.0
444,ENFP,INFJ,zero_shot,1428.0
445,INTJ,INTJ,zero_shot,1598.0
446,INTJ,INTJ,zero_shot,1253.0
447,INFP,INTP,zero_shot,1181.0
448,INTP,INTP,zero_shot,1004.0
449,ISTP,ISTP,zero_shot,1168.0
450,INFJ,INFP,zero_shot,1681.0
451,INFJ,INFJ,zero_shot,1488.0
452,ENTP,ENTP,zero_shot,1581.0
453,INFP,INTP,zero_shot,1168.0
454,INFP,INFP,zero_shot,1714.0
455,INTJ,INTJ,zero_shot,1859.0
456,INTP,INTP,zero_shot,885.0
457,INTJ,INTJ,zero_shot,1386.0
458,ENFJ,ENFP,zero_shot,1469.0
459,ENFP,ENTP,zero_shot,1571.0
460,INFP,INFP,zero_shot,1301.0
461,ENTP,INFJ,zero_shot,1484.0
462,ENTP,INTP,zero_shot,1723.0
463,INFP,INFP,zero_shot,1391.0
464,ENTP,INTP,zero_shot,1669.0
465,INFP,INFP,zero_shot,1521.0
466,INFJ,INTJ,zero_shot,1509.0
467,INTJ,ENFP,zero_shot,1516.0
468,INFJ,INFJ,zero_shot,1647.0
469,INTP,INTP,zero_shot,1382.0
470,ENFP,ENFP,zero_shot,1135.0
471,INTJ,INFJ,zero_shot,1629.0
472,ESTP,INTP,zero_shot,1391.0
473,ESFP,ENFP,zero_shot,707.0
474,INFP,INFP,zero_shot,1487.0
475,INFJ,INFJ,zero_shot,1277.0
476,INFJ,INFJ,zero_shot,1299.0
477,ENFP,INFP,zero_shot,1422.0
478,INFJ,INFJ,zero_shot,1292.0
479,INFJ,INFP,zero_shot,1619.0
480,ISFP,INFJ,zero_shot,946.0
481,INFJ,INTP,zero_shot,599.0
482,INFP,INFJ,zero_shot,1419.0
483,ISTP,INTP,zero_shot,1151.0
484,INFP,INFP,zero_shot,1280.0
485,INFP,INFJ,zero_shot,1728.0
486,ENTJ,INTJ,zero_shot,1154.0
487,INTP,INTP,zero_shot,1493.0
488,INTP,INFP,zero_shot,1665.0
489,INFJ,INFP,zero_shot,1765.0
490,INFJ,INTJ,zero_shot,1700.0
491,INTJ,INTP,zero_shot,1550.0
492,INTP,INFJ,zero_shot,1630.0
493,ISFP,INFP,zero_shot,817.0
494,INTP,INTP,zero_shot,985.0
495,INFJ,INFJ,zero_shot,1416.0
496,INFP,INFP,zero_shot,1020.0
497,ENTP,ENTP,zero_shot,1454.0
498,INTP,INFJ,zero_shot,1674.0
499,INTJ,INTJ,zero_shot,962.0
500,INFJ,INFP,zero_shot,1274.0
501,ISTJ,INFJ,zero_shot,1616.0
502,INFP,INFJ,zero_shot,1746.0
503,ENFP,INTP,zero_shot,1454.0
504,INFJ,INFJ,zero_shot,1671.0
505,INTP,INTJ,zero_shot,1608.0
506,ENTJ,ENTP,zero_shot,1168.0
507,INFJ,INFJ,zero_shot,1511.0
508,INFJ,INFP,zero_shot,1658.0
509,INTP,INTP,zero_shot,1715.0
510,INFJ,INFJ,zero_shot,1635.0
511,INFJ,INFJ,zero_shot,1228.0
512,INTP,INFJ,zero_shot,1604.0
513,ISTP,INTJ,zero_shot,1544.0
514,INTP,INFP,zero_shot,1344.0
515,INFJ,INFJ,zero_shot,1521.0
516,ENTJ,INFJ,zero_shot,1216.0
517,INFJ,INFJ,zero_shot,1458.0
518,INTP,INFJ,zero_shot,1260.0
519,INTP,INTP,zero_shot,1263.0
520,ISFP,INFP,zero_shot,1158.0
521,INTJ,INTJ,zero_shot,1317.0
522,INTP,INTJ,zero_shot,1023.0
523,INFP,INFP,zero_shot,1470.0
524,INFP,INFJ,zero_shot,1370.0
525,INFP,INFP,zero_shot,1011.0
526,INFP,INFP,zero_shot,1282.0
527,INFP,INTP,zero_shot,431.0
528,ENTP,ENTP,zero_shot,690.0
529,INFJ,INFP,zero_shot,1420.0
530,ISFP,INFP,zero_shot,632.0
531,ENFP,INFJ,zero_shot,1441.0
532,INTJ,INTP,zero_shot,974.0
533,ISFP,INFP,zero_shot,1105.0
534,INFJ,INFP,zero_shot,964.0
535,INFP,INFP,zero_shot,1484.0
536,ISFP,INFJ,zero_shot,1746.0
537,INTJ,INTJ,zero_shot,1338.0
538,INTJ,INTP,zero_shot,1490.0
539,ENTP,INTP,zero_shot,1695.0
540,ISTJ,INTP,zero_shot,1257.0
541,INTJ,INTP,zero_shot,747.0
542,INFJ,INTP,zero_shot,1504.0
543,INFJ,INFJ,zero_shot,1506.0
544,ISTJ,INTP,zero_shot,1663.0
545,INTJ,INFJ,zero_shot,1462.0
546,INFJ,INFJ,zero_shot,1293.0
547,INFJ,INTP,zero_shot,1756.0
548,INFJ,INFP,zero_shot,484.0
549,ESTP,INTJ,zero_shot,1622.0
550,INFP,INTJ,zero_shot,1518.0
551,INTP,INTP,zero_shot,1623.0
552,INFP,INFJ,zero_shot,1810.0
553,ISFP,INFP,zero_shot,1536.0
554,INFJ,INTJ,zero_shot,1582.0
555,ESTJ,INFP,zero_shot,1084.0
556,ESFP,INFJ,zero_shot,1493.0
557,INTP,INTP,zero_shot,1542.0
558,INTJ,ENTP,zero_shot,1758.0
559,ENFJ,INFJ,zero_shot,1436.0
560,ENTJ,INTP,zero_shot,1422.0
561,ENTP,INFP,zero_shot,1091.0
562,INFP,INFJ,zero_shot,1274.0
563,ISTP,INTJ,zero_shot,1025.0
564,INFP,INFP,zero_shot,991.0
565,ENFP,INFP,zero_shot,1538.0
566,INFJ,INFP,zero_shot,796.0
567,INFP,INFP,zero_shot,1419.0
568,INFP,INFJ,zero_shot,1323.0
569,INFP,INTJ,zero_shot,1644.0
570,INFJ,INFJ,zero_shot,1699.0
571,ENFP,ENFP,zero_shot,1739.0
572,INTP,INFJ,zero_shot,1692.0
573,INTJ,INTJ,zero_shot,1297.0
574,ENTP,INTP,zero_shot,1569.0
575,INTJ,INTP,zero_shot,1585.0
576,INFJ,INFJ,zero_shot,1490.0
577,ESTJ,ENTP,zero_shot,1146.0
578,ENTP,ENTP,zero_shot,1257.0
579,INTJ,INTJ,zero_shot,1429.0
580,INTJ,INTP,zero_shot,799.0
581,INFP,INFJ,zero_shot,963.0
582,ISTP,ISTP,zero_shot,1284.0
583,INTJ,INTJ,zero_shot,1640.0
584,INTP,INTP,zero_shot,415.0
585,INFJ,INFJ,zero_shot,1798.0
586,INFJ,INFJ,zero_shot,1420.0
587,INTJ,INFJ,zero_shot,1446.0
588,ENFJ,INFJ,zero_shot,1447.0
589,ISTP,INFP,zero_shot,1413.0
590,INFJ,INFP,zero_shot,1548.0
591,ESFP,INFJ,zero_shot,1340.0
592,ENFJ,INFJ,zero_shot,1194.0
593,INTJ,INTP,zero_shot,1106.0
594,INFJ,INFJ,zero_shot,1436.0
595,ISTP,INFJ,zero_shot,1847.0
596,ENFP,INFP,zero_shot,1881.0
597,INFJ,INFJ,zero_shot,1850.0
598,ENTP,ENTP,zero_shot,1493.0
599,ENFP,INFJ,zero_shot,1805.0
600,INFP,INFJ,zero_shot,1720.0
601,INFP,INFP,zero_shot,1805.0
602,INFP,INTJ,zero_shot,1817.0
603,INTJ,INTJ,zero_shot,1355.0
604,ISFP,INFP,zero_shot,569.0
605,INFJ,INFJ,zero_shot,1479.0
606,ISTP,ISTP,zero_shot,1050.0
607,INFP,INFJ,zero_shot,1314.0
608,ISFP,INTP,zero_shot,1724.0
609,INFJ,ENTP,zero_shot,1746.0
610,ESFJ,INFP,zero_shot,691.0
611,INFJ,INFP,zero_shot,1708.0
612,ESFP,INFP,zero_shot,1384.0
613,ISTP,INTP,zero_shot,751.0
614,INFP,INTP,zero_shot,1245.0
615,INTP,INTP,zero_shot,1072.0
616,INFJ,INFJ,zero_shot,1692.0
617,INFJ,INFJ,zero_shot,1823.0
618,INFJ,INFJ,zero_shot,1747.0
619,INFP,INFP,zero_shot,1119.0
620,ISTP,INTJ,zero_shot,1148.0
621,INTP,INFJ,zero_shot,1775.0
622,INTP,INFP,zero_shot,1228.0
623,ENTP,ENFP,zero_shot,996.0
624,INFP,INFJ,zero_shot,1741.0
625,INFP,INFJ,zero_shot,1392.0
626,INTJ,INFJ,zero_shot,1426.0
627,INTJ,INTJ,zero_shot,1236.0
628,ENFP,ENTP,zero_shot,477.0
629,INFJ,INFJ,zero_shot,1771.0
